Date,Open,High,Low,Close,Adj Close,Volume,Days
2014-02-28,107.559998,108.800003,107.559998,108.279999,84.402,64300,0
2014-03-03,107.540001,108,107.129997,107.68,83.934319,64700,1
2014-03-04,108.529999,109.449997,108.529999,109.339996,85.228241,61100,2
2014-03-05,109.360001,109.360001,108.900002,109.120003,85.056755,54100,3
2014-03-06,109.309998,109.309998,108.900002,108.980003,84.947624,45500,4
2014-03-07,109.239998,109.260002,108.739998,109.169998,85.095726,33800,5
2014-03-10,109,109.339996,108.879997,109.269997,85.17366,39500,6
2014-03-11,109.470001,109.620003,108.989998,109.260002,85.165863,56000,7
2014-03-12,108.860001,109.519997,108.860001,109.449997,85.313988,30600,8
2014-03-13,109.760002,109.93,108.730003,108.839996,84.838493,51000,9
2014-03-14,108.510002,109.419998,108.510002,108.93,84.908661,58500,10
2014-03-17,109.43,109.75,109.339996,109.690002,85.50106,50800,11
2014-03-18,109.860001,110.040001,109.599998,109.900002,85.664742,55700,12
2014-03-19,109.989998,110.010002,108.510002,108.940002,84.916458,45800,13
2014-03-20,108.830002,109.5,108.57,109.290001,85.189262,34700,14
2014-03-21,109.82,110.360001,109.330002,109.389999,85.267235,40000,15
2014-03-24,109.660004,110.029999,109.139999,109.279999,85.181458,69300,16
2014-03-25,109.510002,110.139999,109.510002,109.919998,85.680328,43200,17
2014-03-26,110.230003,110.519997,109.830002,109.830002,85.610184,136200,18
2014-03-27,109.870003,110.139999,109.5,109.699997,85.508858,157800,19
2014-03-28,109.849998,110.190002,109.739998,109.980003,85.727119,84100,20
2014-03-31,110.25,110.879997,110.25,110.790001,86.358482,38800,21
2014-04-01,110.93,110.949997,110.400002,110.709999,86.296127,92800,22
2014-04-02,110.660004,111,110.440002,110.940002,86.475388,107800,23
2014-04-03,110.809998,111.010002,110.620003,110.940002,86.475388,48700,24
2014-04-04,111.260002,111.410004,110.239998,110.309998,85.984344,58800,25
2014-04-07,110.110001,110.959999,110.110001,110.589996,86.202606,45500,26
2014-04-08,110.470001,111.029999,110.449997,111,86.522163,58700,27
2014-04-09,111.309998,111.57,110.989998,111.57,86.966484,31800,28
2014-04-10,111.529999,112.190002,110.459999,110.559998,86.179176,77600,29
2014-04-11,110.120003,110.730003,109.760002,109.889999,85.656944,116300,30
2014-04-14,110.32,110.900002,109.940002,110.620003,86.22599,87900,31
2014-04-15,111.07,111.099998,110.239998,110.959999,86.490982,27500,32
2014-04-16,111.489998,112.089996,111.480003,112.07,87.356224,43400,33
2014-04-17,112.07,112.220001,111.580002,112.190002,87.449738,32400,34
2014-04-21,112.199997,112.290001,111.709999,112.269997,87.512123,61300,35
2014-04-22,112.339996,112.459999,112.089996,112.230003,87.480942,39300,36
2014-04-23,112.110001,112.419998,112.07,112.139999,87.410782,34500,37
2014-04-24,112.300003,112.57,112,112.389999,87.605659,56200,38
2014-04-25,112.209999,112.550003,112.059998,112.480003,87.675804,44000,39
2014-04-28,112.839996,113.980003,112.839996,113.75,88.665749,44900,40
2014-04-29,113.93,113.93,113.309998,113.349998,88.353928,84900,41
2014-04-30,113.419998,113.639999,113.190002,113.620003,88.564423,123300,42
2014-05-01,113.739998,113.739998,112.989998,113.550003,88.509842,305800,43
2014-05-02,113.720001,113.779999,113.349998,113.540001,88.502052,93100,44
2014-05-05,113.349998,113.589996,112.790001,113.449997,88.4319,57000,45
2014-05-06,113.110001,113.260002,112.620003,112.629997,87.792747,166600,46
2014-05-07,112.610001,113.760002,112.610001,113.760002,88.673553,45700,47
2014-05-08,113.879997,114.260002,113.43,113.75,88.665749,54500,48
2014-05-09,113.779999,114.309998,113.660004,114.300003,89.094467,35700,49
2014-05-12,114.760002,114.870003,114.32,114.57,89.304909,43600,50
2014-05-13,114.660004,114.849998,114.57,114.699997,89.406235,53700,51
2014-05-14,114.550003,114.550003,113.879997,114.019997,88.876183,40700,52
2014-05-15,113.599998,113.610001,112.82,113.010002,88.088936,53700,53
2014-05-16,113,113.739998,113,113.739998,88.657944,33200,54
2014-05-19,113.639999,113.639999,113.230003,113.540001,88.502052,39000,55
2014-05-20,113.5,113.5,112.900002,112.989998,88.073341,32400,56
2014-05-21,113.360001,113.75,113,113.739998,88.657944,63100,57
2014-05-22,113.82,113.82,113.290001,113.550003,88.509842,114600,58
2014-05-23,113.68,113.919998,113.68,113.809998,88.712509,25500,59
2014-05-27,114.230003,114.279999,113.949997,114.25,89.055473,35200,60
2014-05-28,114.309998,114.440002,114.059998,114.099998,88.938568,322800,61
2014-05-29,114.43,115.239998,114.400002,115.169998,89.772591,46400,62
2014-05-30,115.220001,116.019997,115.080002,115.949997,90.380592,37300,63
2014-06-02,116.040001,116.040001,115.480003,115.57,90.084381,94900,64
2014-06-03,115.230003,115.400002,115.190002,115.260002,89.842758,59000,65
2014-06-04,115.330002,115.790001,115.190002,115.790001,90.255882,65600,66
2014-06-05,115.949997,116.260002,115.510002,116.199997,90.575455,47900,67
2014-06-06,116.330002,116.510002,116.239998,116.480003,90.793716,53300,68
2014-06-09,116.489998,116.580002,116.199997,116.370003,90.707977,48000,69
2014-06-10,116.099998,116.43,116.089996,116.339996,90.684608,38400,70
2014-06-11,116.169998,116.300003,115.839996,115.989998,90.411781,38300,71
2014-06-12,115.980003,115.980003,115.120003,115.199997,89.79599,36400,72
